제목,저자,역자,출간일,페이지,정가,할인가격,마일리지
하루 한 장 초등과학 365,치바 가즈요시 ," 허영은 , 유우종 (감수) ", 2021-12-14, 416 쪽," 19,800원"," 17,820원", 990점 
"다시, 배우다",폴 김 ,역자 없음, 2021-12-10, 304 쪽," 16,000원"," 14,400원", 800점 
당당한 디자인 결정을 위한 9가지 방법,톰 그리버 ," 김민성 , 곽서희 ", 2021-12-10, 376 쪽," 22,000원"," 19,800원"," 1,100점 "
365 부모 말하기 연습 일력(스프링북),"박재연 , 공인영 ",역자 없음, 2021-12-01, 384 쪽," 18,000원"," 16,200원", 900점 
공학도를 위한 수치해석(8판),"Steven C.Chapra , Raymond P. Canale "," 나양 , 이승배 , 임윤철 ", 2021-11-30, 600 쪽," 36,000원"," 36,000원"," 1,080점 "
엑셀 매크로&VBA 업무 공략집,최준선 ,역자 없음, 2021-11-30, 328 쪽," 22,000원"," 19,800원"," 1,100점 "
데이터 과학자 되는 법,"에밀리 로빈슨 , 재클린 놀리스 ", 이창화 , 2021-11-26, 372 쪽," 24,000원"," 21,600원"," 1,200점 "
돈 되는 기획,김도균 ,역자 없음, 2021-11-26, 240 쪽," 14,500원"," 13,050원", 725점 
빠르게 찾아 바로 적용하는 엑셀 에센스 사전 100,한은숙 ,역자 없음, 2021-11-25, 300 쪽," 18,000원"," 16,200원", 900점 
초등 어휘력이 공부력이다,박명선 ,역자 없음, 2021-11-25, 412 쪽," 18,000원"," 16,200원", 900점 
만화로 배우는 의학의 역사(개정판),"장 노엘 파비아니 , 필리프 베르코비치 , 김모 , 조한나 ",역자 없음, 2021-11-15, 296 쪽," 20,800원"," 18,720원"," 1,040점 "
"스토리텔링 우동이즘의 잘 팔리는 웹툰, 웹소설 이야기 만들기",우동이즘(이동우) ,역자 없음, 2021-11-15, 232 쪽," 16,000원"," 14,400원", 800점 
중학교 입학 가이드,배혜림 ,역자 없음, 2021-11-11, 376 쪽," 16,500원"," 14,850원", 825점 
보고서 작성 실무 강의(개정판),홍장표 ,역자 없음, 2021-11-08, 400 쪽," 18,000원"," 16,200원", 900점 
비겁한 돈,"황현희 , 제갈현열 ",역자 없음, 2021-11-08, 248 쪽," 16,000원"," 14,400원", 800점 
나도 영문 손글씨 잘 쓰면 소원이 없겠네,윤정희(리제 캘리그라피) ,역자 없음, 2021-11-05, 240 쪽," 16,800원"," 15,120원", 840점 
구글 BERT의 정석,수다르산 라비찬디란 ," 전희원 , 정승환 , 김형준 ", 2021-11-03, 368 쪽," 34,000원"," 30,600원"," 1,700점 "
1000개 숨은그림찾기 몬스터 : 찾아도 찾아도 끝판왕,김확실 ,역자 없음, 2021-11-02, 96 쪽," 8,000원"," 7,200원", 400점 
1000개 숨은그림찾기 보물찾기 : 찾아도 찾아도 끝판왕,전진희 ,역자 없음, 2021-11-02, 96 쪽," 8,000원"," 7,200원", 400점 
1000개 숨은그림찾기 탈것 : 찾아도 찾아도 끝판왕,이한이 ,역자 없음, 2021-11-02, 96 쪽," 8,000원"," 7,200원", 400점 
UX/UI 디자이너를 위한 실무 피그마,클레어 정 ,역자 없음, 2021-11-01, 352 쪽," 24,000원"," 21,600원"," 1,200점 "
머신러닝 디자인 패턴,"발리아파 락슈마난 , 세라 로빈슨 , 마이클 먼 "," 맹윤호 , 임지순 ", 2021-11-01, 460 쪽," 38,000원"," 34,200원"," 1,900점 "
소프트웨어 아키텍처 101,"마크 리처즈 , 닐 포드 ", 이일웅 , 2021-11-01, 472 쪽," 32,000원"," 28,800원"," 1,600점 "
혼자 공부하는 SQL,우재남 ,역자 없음, 2021-11-01, 444 쪽," 24,000원"," 21,600원"," 1,200점 "
"IT CookBook, 그림으로 배우고 실생활 예제로 실습하는 자바를 부탁해",박세홍(홍팍) ,역자 없음, 2021-10-29, 556 쪽," 26,000원"," 26,000원", 780점 
온톨로지 과학자를 위한 지식그래프,"딘 알레망 , 제임스 핸들러 , 파비엔 갠던 ", 김학래 , 2021-10-29, 544 쪽," 45,000원"," 45,000원"," 1,350점 "
똑똑한 두뇌 연습 : 놀이공원 미로찾기,권나영 ,역자 없음, 2021-10-28, 76 쪽," 7,500원"," 6,750원", 375점 
한 권으로 다지는 머신러닝&딥러닝 with 파이썬,"알베르토 아르타산체스 , 프라틱 조시 ", 여인춘 , 2021-10-21, 680 쪽," 40,000원"," 36,000원"," 2,000점 "
"IT CookBook, 시스템 프로그래밍: 리눅스&유닉스",이종원 ,역자 없음, 2021-10-15, 552 쪽," 28,000원"," 28,000원", 840점 
살아 움직이는 머신러닝 파이프라인 설계,"하네스 하프케 , 캐서린 넬슨 ", 송호연 , 2021-10-11, 416 쪽," 32,000원"," 28,800원"," 1,600점 "
그로킹 심층 강화학습,미겔 모랄레스 , 강찬석 , 2021-10-10, 500 쪽," 35,000원"," 31,500원"," 1,750점 "
시험장에 몰래 가져갈  이경오의 SQL+SQLD 비밀노트,이경오 ,역자 없음, 2021-10-10, 556 쪽," 32,000원"," 28,800원"," 1,600점 "
1000개 숨은그림찾기 바다 동물,이한이 ,역자 없음, 2021-10-08, 96 쪽," 8,000원"," 7,200원", 400점 
1000개 숨은그림찾기 아이스크림,김확실 ,역자 없음, 2021-10-08, 96 쪽," 8,000원"," 7,200원", 400점 
심리 읽어드립니다,"김경일 , 사피엔스 스튜디오 ",역자 없음, 2021-10-08, 332 쪽," 17,500원"," 15,750원", 875점 
한번에 적용하는 분석,히든그레이스 데이터분석팀 ,역자 없음, 2021-10-08, 356 쪽," 24,000원"," 24,000원", 720점 
탐험! 숲체험 생물 도감,이치니치 잇슈 , 박현숙 , 2021-10-06, 132 쪽," 13,000원"," 11,700원", 650점 
깍두기 가계부 2022,쓰담여사 ,역자 없음, 2021-10-01, 192 쪽," 14,800원"," 13,320원", 740점 
미국 주식으로 시작하는 슬기로운 퀀트투자,"김용환 , Yubin Kim ",역자 없음, 2021-09-30, 416 쪽," 32,000원"," 28,800원"," 1,600점 "
제대로 배우는 수학적 최적화,우메타니 슌지 , 김모세 , 2021-09-30, 424 쪽," 38,000원"," 34,200원"," 1,900점 "
"1년에 5,000만 원 버는 수익 확장 노하우 네이버 블로그로 돈 벌기",김동석 ,역자 없음, 2021-09-28, 312 쪽," 16,000원"," 14,400원", 800점 
디자인 1등 유튜버 존코바의 클릭을 유도하는 유튜브 디자인 with 포토샵,존코바(이요한) ,역자 없음, 2021-09-27, 348 쪽," 19,800원"," 17,820원", 990점 
핸즈온 해킹,"매슈 히키 , 제니퍼 아커리 ", 류광 , 2021-09-27, 776 쪽," 45,000원"," 40,500원"," 2,250점 "
정리 잘하는 사람은 이렇게 합니다,고메다 마리나 , 박연정 , 2021-09-17, 208 쪽," 15,000원"," 13,500원", 750점 
두 발로 선 경제,이용우 ,역자 없음, 2021-09-10, 468 쪽," 23,000원"," 20,700원"," 1,150점 "
인공지능 논리 입문,이은정 ,역자 없음, 2021-09-10, 260 쪽," 22,000원"," 22,000원", 660점 
머신러닝 파워드 애플리케이션,에마뉘엘 아메장 , 박해선 , 2021-09-06, 304 쪽," 27,000원"," 24,300원"," 1,350점 "
유튜브 마케팅 인사이트,서양수 ,역자 없음, 2021-09-03, 280 쪽," 16,500원"," 14,850원", 825점 
웹 브라우저 속 머신러닝 TensorFlow.js,카이 사사키 , 유수연 , 2021-09-01, 312 쪽," 25,000원"," 22,500원"," 1,250점 "
"IT CookBook, 처음 만나는 전기기기(2판)","최은혁 , 박숭규 ",역자 없음, 2021-08-31, 328 쪽," 24,000원"," 24,000원", 720점 
모바일 UX/UI 디자인 강의 with Adobe XD,김영삼 ,역자 없음, 2021-08-30, 404 쪽," 26,000원"," 23,400원"," 1,300점 "
인문학 거저보기 : 서양철학 편,지하늘 ,역자 없음, 2021-08-30, 380 쪽," 18,500원"," 16,650원", 925점 
처음 배우는 플라스크 웹 프로그래밍,윤정현 ,역자 없음, 2021-08-30, 260 쪽," 19,800원"," 17,820원", 990점 
"IT CookBook, 현대 센서공학(5판)",Jacob Fraden ," 김윤 , 김혁 , 박동욱 ", 2021-08-27, 688 쪽," 35,000원"," 35,000원"," 1,050점 "
방구석 심리학 실험실,마이클 A. 브릿 , 류초롱 , 2021-08-25, 388 쪽," 18,000원"," 16,200원", 900점 
"IT CookBook, 모바일 웹 서비스 구현을 위한 JSP 웹 프로그래밍","김현규 , 박유현 ",역자 없음, 2021-08-23, 660 쪽," 30,000원"," 30,000원", 900점 
혼자서도 척척 접는 종이접기,신구 후미아키 ,역자 없음, 2021-08-23, 96 쪽," 9,800원"," 8,820원", 490점 
혼자서도 척척 접는 종이접기 2권 세트,신구 후미아키 ,역자 없음, 2021-08-23, 192 쪽," 15,000원"," 13,500원", 750점 
혼자서도 척척 접는 종이접기 플러스,신구 후미아키 ,역자 없음, 2021-08-23, 96 쪽," 9,800원"," 8,820원", 490점 
스파크를 이용한 자연어 처리,앨릭스 토머스 , 이창현 , 2021-08-20, 440 쪽," 34,000원"," 30,600원"," 1,700점 "
어른을 위한 두뇌 놀이 책,개러스 무어 박사 ,역자 없음, 2021-08-20, 112 쪽," 9,900원"," 8,910원", 495점 
클라우드 네이티브를 위한 데이터 센터 네트워크 구축,디네시 G. 더트 , 정기훈 , 2021-08-20, 564 쪽," 36,000원"," 32,400원"," 1,800점 "
감으로만 일하던 김 팀장은 어떻게 데이터 좀 아는 팀장이 되었나,"황보현우 , 김철수 ",역자 없음, 2021-08-16, 336 쪽," 17,800원"," 16,020원", 890점 
미래조직을 위한 조직설계의 이해(4판),"현선해 , 최세경 , 서문교 ",역자 없음, 2021-08-13, 292 쪽," 22,000원"," 22,000원", 660점 
쉽게 배우고 익히는 회계원리(4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선 ",역자 없음, 2021-08-13, 568 쪽," 30,000원"," 30,000원", 900점 
쉽게 배우고 익히는 회계원리[객관식/학습문제 해답](4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선 ",역자 없음, 2021-08-13, 160 쪽," 7,000원"," 7,000원", 210점 
fastai와 파이토치가 만나 꽃피운 딥러닝,"제러미 하워드 , 실뱅 거거 "," 박찬성 , 김지은 ", 2021-08-10, 720 쪽," 44,000원"," 39,600원"," 2,200점 "
"IT CookBook, 짧고 굵게 배우는 JSP 웹 프로그래밍과 스프링 프레임워크",황희정 ,역자 없음, 2021-08-09, 472 쪽," 27,000원"," 27,000원", 810점 
스케치업 & V-Ray 트레이닝 북(개정판),강석창 ,역자 없음, 2021-08-09, 496 쪽," 28,000원"," 25,200원"," 1,400점 "
생각과 말로 글을 늘리는 초등 10분 글쓰기,강근영 ,역자 없음, 2021-08-07, 324 쪽," 15,800원"," 14,220원", 790점 
데이터베이스 시스템(7판),"Abraham Silberschatz , Henry F. Korth , S. Sudarshan "," 정연돈 , 권준호 , 김종욱 , 서영균 , 이동호 ", 2021-08-05, 1248 쪽," 45,000원"," 45,000원"," 1,350점 "
만들면서 배우는 파이토치 딥러닝,오가와 유타로 , 박광수(아크몬드) , 2021-08-05, 544 쪽," 40,000원"," 36,000원"," 2,000점 "
눈 떠보니 선진국,박태웅 ,역자 없음, 2021-08-01, 228 쪽," 16,500원"," 14,850원", 825점 
실리콘밸리 리더십,마이클 롭 , 김정혜 , 2021-08-01, 368 쪽," 22,000원"," 19,800원"," 1,100점 "
처음 시작하는 마이크로서비스,"로니 미트라 , 이라클리 나다레이슈빌리 ",역자 없음, 2021-08-01, 344 쪽," 27,000원"," 24,300원"," 1,350점 "
텐서플로 라이트를 활용한 안드로이드 딥러닝,임태규 ,역자 없음, 2021-08-01, 368 쪽," 27,000원"," 24,300원"," 1,350점 "
회사에서 바로 통하는  오토캐드 AutoCAD 2022,심미현 ,역자 없음, 2021-07-28, 664 쪽," 28,000원"," 25,200원"," 1,400점 "
5리터의 피,로즈 조지 , 김정아 , 2021-07-27, 492 쪽," 25,000원"," 22,500원"," 1,250점 "
미국주식 스팩투자법,리차드(이명진) ,역자 없음, 2021-07-26, 280 쪽," 18,500원"," 16,650원", 925점 
재미있고 빠른 숫자 쓰기 1권 : 0부터 50까지,한빛학습연구회 ,역자 없음, 2021-07-26, 88 쪽," 7,500원"," 6,750원", 375점 
재미있고 빠른 숫자 쓰기 2권 : 0부터 100까지,한빛학습연구회 ,역자 없음, 2021-07-26, 96 쪽," 7,500원"," 6,750원", 375점 
재미있고 빠른 알파벳 쓰기,한빛학습연구회 ,역자 없음, 2021-07-26, 88 쪽," 7,500원"," 6,750원", 375점 
비즈니스 애널리틱스,"Sanjiv Jaggia , Alison Kelly , Kevin Lertwachara , Leida Chen "," 장혜정 , 이상규 , 오세환 , 변종복 ", 2021-07-20, 704 쪽," 38,000원"," 38,000원"," 1,140점 "
이기적이라 살아남았습니다,이마이즈미 다다아키 ," 김지연 , 이정모(감수) ", 2021-07-20, 176 쪽," 13,800원"," 12,420원", 690점 
스벨트 앤 새퍼 인 액션,마크 볼크먼 , 박수현 , 2021-07-19, 580 쪽," 38,000원"," 34,200원"," 1,900점 "
"STEM CookBook, 문제 해결력을 키우는 정역학",오충석 ,역자 없음, 2021-07-16, 460 쪽," 30,000원"," 30,000원", 900점 
최신 관리회계,"정재권 , 서한결 , 곽종민 ",역자 없음, 2021-07-10, 460 쪽," 28,000원"," 28,000원", 840점 
리눅스 입문자를 위한 명령어 사전,"가와구치 히로시 , 다야 후미히코 , 미사와 아키라 ", 서수환 , 2021-07-07, 456 쪽," 32,000원"," 28,800원"," 1,600점 "
파타고니아 이야기,이본 쉬나드 , 추선영 , 2021-07-07, 584 쪽," 55,000원"," 49,500원"," 2,750점 "
"풀스택 서버리스 :  리액트, AWS, 그래프QL을 이용한 최신 애플리케이션 개발",네이더 다빗 , 김범준 , 2021-07-05, 216 쪽," 21,000원"," 18,900원"," 1,050점 "
한 권으로 배우는 작고 예쁜 꽃자수,장미나(미나랜드) ,역자 없음, 2021-07-05, 240 쪽," 18,000원"," 16,200원", 900점 
"IT CookBook, 처음 만나는 회로이론(2판)",방성완 ,역자 없음, 2021-07-02, 400 쪽," 23,000원"," 23,000원", 690점 
안전필수 시스템 제어 설계,"김국헌 , 김태효 , 이성섭 ",역자 없음, 2021-07-02, 488 쪽," 38,000원"," 38,000원"," 1,140점 "
데이터 스토리,낸시 두아르테 ," 권혜정 , 윤영진(감수) ", 2021-07-01, 240 쪽," 22,000원"," 19,800원"," 1,100점 "
러닝 리액트(2판),"알렉스 뱅크스 , 이브 포셀로 ",역자 없음, 오현석 , 2021-07-01," 28,000원"," 25,200원"," 1,400점 "
상식의 재구성,조선희 ,역자 없음, 2021-07-01, 560 쪽," 22,000원"," 19,800원"," 1,100점 "
업무에 바로 쓰는 SQL 튜닝,양바른 ,역자 없음, 2021-07-01, 296 쪽," 22,000원"," 19,800원"," 1,100점 "
"IT CookBook, C로 배우는 쉬운 자료구조(4판)",이지영 ,역자 없음, 2021-06-30, 624 쪽," 29,000원"," 29,000원", 870점 
"IT CookBook, 디지털 콘텐츠 기획(2판)",김성은 ,역자 없음, 2021-06-30, 548 쪽," 30,000원"," 30,000원", 900점 
"IT CookBook, 쉽게 배우는 소프트웨어 공학(2판)",김치수 ,역자 없음, 2021-06-30, 560 쪽," 30,000원"," 30,000원", 900점 
